timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
6.463641829,87460,458868,0,87480,413098,0
6.564596430,97462,462603,0,85243,460362,0
6.665566402,90123,427520,0,127352,503599,0
6.766296043,52441,407033,0,123472,451754,0
6.867334118,57328,414723,0,94637,436596,0
6.968074558,50535,424047,0,98735,436864,0
7.068805099,56349,421293,0,103326,437701,0
7.169577211,49468,407725,0,110148,451767,0
7.270337945,55477,413652,0,93275,437314,0
7.371419515,49889,412924,0,113186,449497,0
7.472477521,83171,460199,0,63165,379817,0
7.573514176,85717,417963,0,84152,418595,0
7.674562927,92598,463781,0,67251,379507,0
7.775628850,88086,419818,0,83481,425177,0
7.876658105,75014,418736,0,96613,440767,0
7.977706767,65847,422417,0,107942,444388,0
8.078758043,55186,415245,0,93110,442926,0
8.179558138,87881,437478,0,141998,566598,0
8.280318876,74903,444999,0,84977,410473,0
8.381083070,91040,458326,0,73327,420344,0
8.481851513,77066,432286,0,77476,428900,0
8.582616220,59545,412917,0,96844,459911,0
8.683702853,58042,428171,0,106591,447326,0
8.784752497,58662,422573,0,92659,456218,0
8.885808594,62988,428539,0,104417,451630,0
8.986885762,52128,429145,0,154489,484875,0
9.087931600,87965,456811,0,70791,373426,0
9.190357364,91477,423172,0,87912,414622,0
9.293056953,59915,413278,0,94664,446134,0
9.395488211,91337,458690,0,73067,387440,0
9.497930881,112981,467653,0,58736,377397,0
9.600394352,75586,421634,0,107297,420512,0
9.702822686,80935,416984,0,112832,515468,0
9.805286470,113651,466269,0,96488,429808,0
9.907739840,71328,447303,0,232829,400042,0
10.010183981,78317,514742,0,677426,500658,0
10.113554791,94117,454603,0,274170,470026,0
10.216001243,61153,563585,0,963554,527014,0
10.318446545,89059,481112,0,1017235,452196,0
10.420904704,88426,464826,0,477610,382298,0
10.523283215,81128,443842,0,292866,414011,0
10.624330081,105065,421869,0,101217,426333,0
10.725383611,134994,425535,0,97912,411266,0
10.826142986,59796,423699,0,148236,430710,0
10.926906720,116969,475825,0,63343,374763,0
11.027674524,89932,441850,0,83505,409406,0
11.128420878,86264,467830,0,62927,371160,0
11.229465995,100983,462239,0,97426,382164,0
11.330527104,92150,473532,0,173510,511716,0
11.431599584,97320,430644,0,93946,421679,0
11.532635928,97437,474924,0,55487,363679,0
11.633745299,108141,466402,0,77121,371060,0
11.734818720,103495,468730,0,56752,358574,0
11.835895426,97109,450337,0,62179,367084,0
11.936759499,84814,463731,0,79516,373664,0
12.037735456,89091,457301,0,95524,388276,0
